,Album,Ano,Artista
0,"Bonito, Lindo e Joiado",1992,Falcão
1,"O Dinheiro Não é Tudo, Mas é 100%",1994,Falcão
2,A Besteira é a Base da Sabedoria,1995,Falcão
3,A Um Passo da MPB,1997,Falcão
4,"Quanto Pior, Melhor",1998,Falcão
5,500 Anos de Chifre,1999,Falcão
6,Do Penico à Bomba Atômica,2000,Falcão
7,Maxximum,2005,Falcão
8,What P***A iis This?,2006,Falcão
9,Sucessão de Sucessos Que Se Sucedem Sucessivamente Sem Cessar,2014,Falcão
10,Under the Blade,1982,Twsted Sister
11,You Can't Stop Rock'n Roll,1983,Twsted Sister
12,Stay Hungry,1984,Twsted Sister
13,Come Out and Play,1985,Twsted Sister
14,Love is for Suckers,1987,Twsted Sister
15,Big Hits and Nasty Cuts,1992,Twsted Sister
16,Still Hungry,2004,Twsted Sister
